
 Morse potential parameters:
 De =  5.1007     eV
 alpha  =  2.1853    /Angst

 Morse potential parameters:
 De =  3.3717     eV
 alpha  =  2.2859    /Angst
 Warning:  17 bound levels for state # 2
  Beta:   2.18524479  2.28588372 /Angst
  K:      44.0259126  34.2185129
  Re:     0.970000029  1.01199996 Angst
 Nmax = 19 16
        3 ->  8 ,  40887.25 ,  1.02602E-03 ,  244.58     ,  7.01323E+10
        3 ->  9 ,  42393.95 ,  2.24353E-04 ,  235.88     ,  1.70940E+10
        3 -> 10 ,  43714.85 ,  4.95092E-05 ,  228.76     ,  4.13593E+09
        3 -> 11 ,  44849.95 ,  1.09148E-05 ,  222.97     ,  9.84695E+08
        3 -> 12 ,  45799.25 ,  2.34255E-06 ,  218.34     ,  2.25042E+08
        3 -> 13 ,  46562.75 ,  4.67215E-07 ,  214.76     ,  4.71664E+07
        3 -> 14 ,  47140.45 ,  8.02541E-08 ,  212.13     ,  8.40714E+06
        3 -> 15 ,  47532.35 ,  1.06769E-08 ,  210.38     ,  1.14661E+06
        3 -> 16 ,  47738.45 ,  9.99266E-10 ,  209.47     ,  1.08714E+05
        4 ->  0 ,  19086.25 ,  1.71077E-07 ,  523.94     ,  1.18947E+06
        4 ->  1 ,  22079.35 ,  2.26870E-04 ,  452.91     ,  2.44195E+09
        4 ->  2 ,  24886.65 ,  2.99688E-02 ,  401.82     ,  4.61923E+11
        4 ->  3 ,  27508.15 ,  0.35375     ,  363.53     ,  7.36342E+12
        4 ->  4 ,  29943.85 ,  0.16861     ,  333.96     ,  4.52695E+12
        4 ->  5 ,  32193.75 ,  0.26421     ,  310.62     ,  8.81595E+12
        4 ->  6 ,  34257.85 ,  0.12375     ,  291.90     ,  4.97556E+12
        4 ->  7 ,  36136.15 ,  4.16185E-02 ,  276.73     ,  1.96387E+12
        4 ->  8 ,  37828.65 ,  1.25196E-02 ,  264.35     ,  6.77721E+11
        4 ->  9 ,  39335.35 ,  3.68411E-03 ,  254.22     ,  2.24224E+11
        4 -> 10 ,  40656.25 ,  1.10868E-03 ,  245.96     ,  7.45053E+10
        4 -> 11 ,  41791.35 ,  3.49817E-04 ,  239.28     ,  2.55329E+10
        4 -> 12 ,  42740.65 ,  1.17502E-04 ,  233.97     ,  9.17418E+09
        4 -> 13 ,  43504.15 ,  4.23579E-05 ,  229.86     ,  3.48760E+09
        4 -> 14 ,  44081.85 ,  1.63104E-05 ,  226.85     ,  1.39715E+09
        4 -> 15 ,  44473.75 ,  6.38812E-06 ,  224.85     ,  5.61932E+08
        4 -> 16 ,  44679.85 ,  1.88470E-06 ,  223.81     ,  1.68104E+08
        5 ->  0 ,  16197.45 ,  6.86559E-10 ,  617.38     ,   2917.5    
        5 ->  1 ,  19190.55 ,  1.28316E-06 ,  521.09     ,  9.06867E+06
        5 ->  2 ,  21997.85 ,  8.09107E-04 ,  454.59     ,  8.61285E+09
        5 ->  3 ,  24619.35 ,  5.83445E-02 ,  406.18     ,  8.70621E+11
        5 ->  4 ,  27055.05 ,  0.40413     ,  369.62     ,  8.00323E+12
        5 ->  5 ,  29304.95 ,  5.60251E-02 ,  341.24     ,  1.40996E+12
        5 ->  6 ,  31369.05 ,  0.21898     ,  318.79     ,  6.75955E+12
        5 ->  7 ,  33247.35 ,  0.14985     ,  300.78     ,  5.50707E+12
        5 ->  8 ,  34939.85 ,  6.79028E-02 ,  286.21     ,  2.89635E+12
        5 ->  9 ,  36446.55 ,  2.67257E-02 ,  274.37     ,  1.29389E+12
        5 -> 10 ,  37767.45 ,  1.01637E-02 ,  264.78     ,  5.47527E+11
        5 -> 11 ,  38902.55 ,  3.93478E-03 ,  257.05     ,  2.31662E+11
        5 -> 12 ,  39851.85 ,  1.59355E-03 ,  250.93     ,  1.00858E+11
        5 -> 13 ,  40615.35 ,  6.82268E-04 ,  246.21     ,  4.57115E+10
        5 -> 14 ,  41193.05 ,  3.05593E-04 ,  242.76     ,  2.13607E+10
        5 -> 15 ,  41584.95 ,  1.34641E-04 ,  240.47     ,  9.68244E+09
        5 -> 16 ,  41791.05 ,  4.25418E-05 ,  239.29     ,  3.10503E+09
        6 ->  0 ,  13478.45 ,  1.10358E-10 ,  741.93     ,   270.22    
        6 ->  1 ,  16471.55 ,  2.80822E-09 ,  607.11     ,   12550.    
        6 ->  2 ,  19278.85 ,  5.97772E-06 ,  518.70     ,  4.28330E+07
        6 ->  3 ,  21900.35 ,  2.28322E-03 ,  456.61     ,  2.39829E+10
        6 ->  4 ,  24336.05 ,  0.10020     ,  410.91     ,  1.44413E+12
        6 ->  5 ,  26585.95 ,  0.41552     ,  376.14     ,  7.80821E+12
        6 ->  6 ,  28650.05 ,  3.64685E-03 ,  349.04     ,  8.57618E+10
        6 ->  7 ,  30528.35 ,  0.14422     ,  327.56     ,  4.10320E+12
        6 ->  8 ,  32220.85 ,  0.15072     ,  310.36     ,  5.04161E+12
        6 ->  9 ,  33727.55 ,  9.15356E-02 ,  296.49     ,  3.51192E+12
        6 -> 10 ,  35048.45 ,  4.61624E-02 ,  285.32     ,  1.98745E+12
        6 -> 11 ,  36183.55 ,  2.19510E-02 ,  276.37     ,  1.03989E+12
        6 -> 12 ,  37132.85 ,  1.04219E-02 ,  269.30     ,  5.33609E+11
        6 -> 13 ,  37896.35 ,  5.05705E-03 ,  263.88     ,  2.75226E+11
